ID,Sex,Twin,BirthYear,Survival,Lifespan,MotherID,FatherID,MumAge,DadAge,MumAgeClass,DadAgeClass,MumLifespan,DadLifespan
1617,Male,0,2003,1,8,479,326,3,2,AdultMum,AdultDad,7,10
1618,Female,1,2003,1,7,495,316,2,2,AdultMum,AdultDad,11,6
1619,Female,1,2003,0,0,495,357,2,6,AdultMum,AdultDad,11,6
1620,Female,0,2003,1,1,439,285,4,3,AdultMum,AdultDad,8,5
1621,Female,0,2003,0,0,478,316,3,2,AdultMum,AdultDad,10,6
1622,Male,0,2003,1,1,556,285,0,3,LambMum,AdultDad,2,5
1623,Male,1,2003,1,6,285,324,9,2,AdultMum,AdultDad,11,4
1624,Female,1,2003,1,1,285,310,9,3,AdultMum,AdultDad,11,5
1625,Female,0,2003,1,1,452,228,3,7,AdultMum,AdultDad,5,9
1626,Female,0,2003,1,1,515,228,2,7,AdultMum,AdultDad,9,9
1627,Male,0,2003,1,8,337,357,7,6,AdultMum,AdultDad,10,6
1628,Female,0,2003,0,0,508,278,2,6,AdultMum,AdultDad,10,8
1629,Female,1,2003,1,3,324,281,8,3,AdultMum,AdultDad,10,5
1630,Male,1,2003,1,6,324,303,8,3,AdultMum,AdultDad,10,6
1631,Female,0,2003,1,8,562,234,0,7,LambMum,AdultDad,9,9
1632,Female,0,2003,1,12,494,287,2,3,AdultMum,AdultDad,11,5
1633,Male,1,2003,1,1,470,353,3,5,AdultMum,AdultDad,9,7
1634,Female,1,2003,0,0,470,353,3,5,AdultMum,AdultDad,9,7
1635,Male,0,2003,0,0,510,228,2,7,AdultMum,AdultDad,9,9
1636,Female,0,2003,1,14,503,287,2,3,AdultMum,AdultDad,11,5
1637,Female,1,2003,1,8,378,228,7,7,AdultMum,AdultDad,11,9
1638,Female,1,2003,0,0,378,391,7,0,AdultMum,LambDad,11,1
1639,Male,1,2003,1,1,353,423,7,3,AdultMum,AdultDad,11,3
1640,Male,1,2003,1,1,353,364,7,3,AdultMum,AdultDad,11,7
1641,Female,0,2003,1,11,433,490,4,0,AdultMum,LambDad,6,2
1642,Female,0,2003,1,15,291,281,9,3,AdultMum,AdultDad,11,5
1643,Female,0,2003,0,0,549,278,0,6,LambMum,AdultDad,9,8
1644,Male,0,2003,1,1,517,357,2,6,AdultMum,AdultDad,6,6
1645,Male,0,2003,1,1,499,234,2,7,AdultMum,AdultDad,4,9
1646,Male,0,2003,1,1,360,278,7,6,AdultMum,AdultDad,11,8
1647,Female,0,2003,1,15,354,285,7,3,AdultMum,AdultDad,13,5
1648,Male,0,2003,1,1,568,285,0,3,LambMum,AdultDad,8,5
1649,Male,0,2003,1,1,373,281,7,3,AdultMum,AdultDad,9,5
1650,Male,0,2003,0,0,448,236,3,7,AdultMum,AdultDad,6,8
1651,Female,0,2003,1,8,359,234,7,7,AdultMum,AdultDad,11,9
1652,Female,0,2003,1,8,537,329,0,2,LambMum,AdultDad,8,8
1653,Male,0,2003,0,0,388,312,6,3,AdultMum,AdultDad,9,5
1654,Male,0,2003,1,1,345,312,7,3,AdultMum,AdultDad,9,5
1655,Male,0,2003,1,1,532,234,1,7,AdultMum,AdultDad,3,9
1656,Female,0,2003,1,8,396,392,6,0,AdultMum,LambDad,10,5
1657,Female,1,2003,0,0,482,303,3,3,AdultMum,AdultDad,5,6
1658,Male,1,2003,1,1,482,303,3,3,AdultMum,AdultDad,5,6
1659,Male,1,2003,1,6,423,334,5,2,AdultMum,AdultDad,7,4
1660,Female,1,2003,1,6,423,287,5,3,AdultMum,AdultDad,7,5
1661,Male,1,2003,1,7,509,234,2,7,AdultMum,AdultDad,6,9
1662,Male,1,2003,1,4,509,419,2,3,AdultMum,AdultDad,6,5
1663,Male,0,2003,0,0,427,385,5,0,AdultMum,LambDad,9,7
1664,Female,0,2003,0,0,278,285,10,3,AdultMum,AdultDad,12,5
1665,Female,0,2003,0,0,527,334,2,2,AdultMum,AdultDad,9,4
1666,Female,0,2003,1,12,403,464,6,0,AdultMum,LambDad,12,1
1667,Male,1,2003,0,0,306,287,9,3,AdultMum,AdultDad,11,5
1668,Female,0,2003,1,1,458,368,3,3,AdultMum,AdultDad,15,7
1669,Female,0,2003,0,0,565,297,0,3,LambMum,AdultDad,6,7
1670,Female,0,2003,1,8,502,388,2,0,AdultMum,LambDad,6,4
1671,Female,0,2003,1,10,279,353,9,5,AdultMum,AdultDad,11,7
1672,Male,1,2003,1,1,368,303,7,3,AdultMum,AdultDad,9,6
1673,Female,1,2003,1,10,368,303,7,3,AdultMum,AdultDad,9,6
